node_id	patch_id	donor_id	region	section_id	x	y	n_cells	mean_n_transcripts	mapped_confidence_mean	dominant_mapped_cell_type	dominant_mapped_cell_type_fraction	celltype_fraction__unknown
H19.33.004__1417642343__40_6	H19.33.004__1417642343__40_6	H19.33.004	CN	1417642343	6074.325127963362	966.6195142022494	58	223.6206896551724		unknown	1.0	1.0
H19.33.004__1417642343__40_5	H19.33.004__1417642343__40_5	H19.33.004	CN	1417642343	6034.556260850694	872.9394192165798	18	166.33333333333334		unknown	1.0	1.0
H19.33.004__1417642343__40_7	H19.33.004__1417642343__40_7	H19.33.004	CN	1417642343	6077.237760416667	1090.835359700521	15	218.26666666666668		unknown	1.0	1.0
H19.33.004__1417642343__37_6	H19.33.004__1417642343__37_6	H19.33.004	CN	1417642343	5638.66552734375	982.793662331321	11	139.0909090909091		unknown	1.0	1.0
H19.33.004__1417642343__38_8	H19.33.004__1417642343__38_8	H19.33.004	CN	1417642343	5767.850204467773	1296.5271339416504	32	306.625		unknown	1.0	1.0
H19.33.004__1417642343__37_7	H19.33.004__1417642343__37_7	H19.33.004	CN	1417642343	5617.3494059244795	1133.279993693034	24	158.625		unknown	1.0	1.0
H19.33.004__1417642343__37_8	H19.33.004__1417642343__37_8	H19.33.004	CN	1417642343	5634.940582275391	1280.2850036621094	16	264.1875		unknown	1.0	1.0
H19.33.004__1417642343__39_12	H19.33.004__1417642343__39_12	H19.33.004	CN	1417642343	5911.102062690548	1883.4858547303734	41	292.0487804878049		unknown	1.0	1.0
H19.33.004__1417642343__39_13	H19.33.004__1417642343__39_13	H19.33.004	CN	1417642343	5910.807899876645	2032.3043566252056	38	208.28947368421052		unknown	1.0	1.0
H19.33.004__1417642343__39_11	H19.33.004__1417642343__39_11	H19.33.004	CN	1417642343	5929.607778188345	1721.9840186866554	37	469.27027027027026		unknown	1.0	1.0
H19.33.004__1417642343__39_8	H19.33.004__1417642343__39_8	H19.33.004	CN	1417642343	5930.321126302083	1287.3391171409971	21	236.28571428571428		unknown	1.0	1.0
H19.33.004__1417642343__38_9	H19.33.004__1417642343__38_9	H19.33.004	CN	1417642343	5767.7767299107145	1451.9098214285714	35	172.68571428571428		unknown	1.0	1.0
H19.33.004__1417642343__39_9	H19.33.004__1417642343__39_9	H19.33.004	CN	1417642343	5920.3038330078125	1423.4284423828126	20	233.7		unknown	1.0	1.0
H19.33.004__1417642343__36_7	H19.33.004__1417642343__36_7	H19.33.004	CN	1417642343	5474.583569335938	1125.1739990234375	20	336.15		unknown	1.0	1.0
H19.33.004__1417642343__36_8	H19.33.004__1417642343__36_8	H19.33.004	CN	1417642343	5463.065335181452	1257.755827872984	31	169.16129032258064		unknown	1.0	1.0
H19.33.004__1417642343__37_9	H19.33.004__1417642343__37_9	H19.33.004	CN	1417642343	5626.228310861895	1424.5928128150201	31	317.5483870967742		unknown	1.0	1.0
H19.33.004__1417642343__36_10	H19.33.004__1417642343__36_10	H19.33.004	CN	1417642343	5480.3382568359375	1588.3688354492188	36	283.6388888888889		unknown	1.0	1.0
